column00,call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude,year,totalIncidentsPerType,totalIncidentsperneigh
4757,F170033963,111,Building fire,"1000 BLOCK LESSING ST, PITTSBURGH PA 15220",4/29/17 3:20,1,231EN30,2814,Crafton Heights,2,28,42003281400,5,28,6,17-Jan,40.44391784,-80.04968579,2017,162,5
4758,F150059827,142,Brush or brush-and-grass mixture fire,"2100 BLOCK CENTRE AVE, PITTSBURGH PA 15219",8/1/15 18:44,0,231EN04,501,Middle Hill,6,5,42003050100,3,5,2,1-Feb,40.44439518,-79.9789234,2015,59,12
4759,F160016672,154,Dumpster or other outside trash receptacle fire,"300 BLOCK HAMERSCHLAG DR, PITTSBURGH PA 15219",3/3/16 0:14,0,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,8-Feb,40.44293236,-79.94555263,2016,48,8
4760,F180002478,151,"Outside rubbish, trash or waste fire","700 BLOCK SHERWOOD AVE, PITTSBURGH PA 15204",1/7/18 20:18,0,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45504481,-80.05607748,2018,41,11
4761,F180002501,111,Building fire,"1600 BLOCK NOBLES LN, PITTSBURGH PA 15210",1/7/18 21:28,1,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.39723799,-79.99780791,2018,135,22
4762,F170091236,113,"Cooking fire, confined to container","5600 BLOCK DUNMOYLE ST, PITTSBURGH PA 15217",11/4/17 12:43,1,231EN18,1402,Squirrel Hill North,8,14,42003140200,3,14,4,17-Feb,40.44747376,-79.92926778,2017,213,10
4763,F170091317,113,"Cooking fire, confined to container","200 BLOCK N FAIRMOUNT ST, PITTSBURGH PA 15224",11/4/17 17:41,1,231EN07,1114,Friendship,7,8,42003080700,2,8,5,23-Mar,40.46232843,-79.93380578,2017,213,3
4764,F170091344,151,"Outside rubbish, trash or waste fire","100 BLOCK KNOX AVE, PITTSBURGH PA 15210",11/4/17 19:15,0,231EN22,3001,Knoxville,3,30,42003300100,4,30,3,6-Apr,40.41555294,-79.99064494,2017,80,19
4765,F180003533,113,"Cooking fire, confined to container","1500 BLOCK WYLIE AVE, PITTSBURGH PA 15219",1/10/18 13:00,1,231EN04,305,Crawford-Roberts,6,3,42003020100,6,3,2,1-Feb,40.4426589,-79.98716359,2018,129,6
4766,F170034178,151,"Outside rubbish, trash or waste fire","1600 BLOCK MEADVILLE ST, PITTSBURGH PA 15212",4/29/17 20:44,0,231EN38,2509,Fineview,1,25,42003250900,1,25,1,10-Jan,40.46061233,-80.00467265,2017,80,10
4768,F170034319,113,"Cooking fire, confined to container","500 BLOCK OAK LYNN CT, PITTSBURGH PA 15216",4/30/17 13:40,1,231EN28,2023,Banksville,2,20,42003202300,5,20,6,9-Apr,40.41598923,-80.0351918,2017,213,11
4769,F170034371,113,"Cooking fire, confined to container","700 BLOCK W NORTH AVE, PITTSBURGH PA 15212",4/30/17 16:29,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.4541985,-80.01367081,2017,213,13
4770,F170034470,131,Passenger vehicle fire,"2200 BLOCK ROSWELL DR, PITTSBURGH PA 15205",5/1/17 2:34,0,231EN31,2808,Fairywood,2,28,42003563000,5,28,6,16-Jan,40.44397913,-80.08038836,2017,108,2
4771,F140066519,151,"Outside rubbish, trash or waste fire","800 BLOCK ESTELLA ST, PITTSBURGH PA 15210",9/14/14 21:13,0,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41579476,-80.00057154,2014,63,19
4772,F140066609,118,"Trash or rubbish fire, contained","5600 BLOCK FORBES AVE, PITTSBURGH PA 15217",9/15/14 10:43,1,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,18-Feb,40.43786964,-79.92752116,2014,42,33
4773,F140066643,111,Building fire,"6600 BLOCK RIDGEVILLE ST, PITTSBURGH PA 15217",9/15/14 12:22,1,231EN18,1403,Squirrel Hill North,8,14,42003140300,3,14,4,18-Feb,40.44338623,-79.91509916,2014,188,20
4774,F140066699,151,"Outside rubbish, trash or waste fire","00 BLOCK PPG PL, PITTSBURGH PA 15219",9/15/14 15:37,0,231EN04,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43998425,-80.00291135,2014,63,32
4775,F170034517,113,"Cooking fire, confined to container","8700 BLOCK BRICELYN ST, PITTSBURGH PA 15228",5/1/17 8:56,1,231EN17,1306,East Hills,9,13,42003130600,2,13,5,17-Mar,40.4594649,-79.8729685,2017,213,16
4777,F140066736,142,Brush or brush-and-grass mixture fire,"5600 BLOCK BEACON ST, PITTSBURGH PA 15217",9/15/14 17:55,0,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb,40.43388916,-79.92733843,2014,56,33
4778,F170034936,113,"Cooking fire, confined to container","1600 BLOCK 5TH AVE, PITTSBURGH PA 15222",5/1/17 23:26,1,231EN04,305,Bluff,6,1,42003010300,3,1,2,4-Feb,40.43825639,-79.98386148,2017,213,15
4779,F170035065,131,Passenger vehicle fire,"3800 BLOCK PERRYSVILLE AVE, PITTSBURGH PA 15214",5/2/17 12:00,0,231EN38,2602,Perry North,1,26,42003260700,1,26,1,15-Jan,40.48755132,-80.01602089,2017,108,17
4780,F170035110,154,Dumpster or other outside trash receptacle fire,"200 BLOCK JOYCE TER, PITTSBURGH PA 15207",5/2/17 13:46,0,231EN12,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40820393,-79.94152716,2017,31,27
4781,F170035357,131,Passenger vehicle fire,"4100 BLOCK LORIGAN ST, PITTSBURGH PA 15224",5/2/17 21:26,0,231EN06,603,Lower Lawrenceville,7,9,42003060300,2,9,2,1-Mar,40.46182655,-79.95656831,2017,108,6
4782,F170035388,118,"Trash or rubbish fire, contained","4900 BLOCK FREW ST, PITTSBURGH PA 15213",5/3/17 1:21,1,231EN18,1401,Squirrel Hill South,5,14,42003980500,3,14,4,8-Feb,40.44087203,-79.94434522,2017,32,28
4783,F170035395,131,Passenger vehicle fire,"400 BLOCK MOUNT PLEASANT RD, PITTSBURGH PA 15212",5/3/17 2:44,0,231EN38,2609,Northview Heights,1,26,42003260900,1,26,1,13-Jan,40.47982925,-80.00190144,2017,108,6
4784,F170035546,142,Brush or brush-and-grass mixture fire,"PROSPECT DR & HOBART RD, PITTSBURGH PA 15217",5/3/17 15:43,0,231EN12,1413,Squirrel Hill South,5,14,42003980500,3,14,4,21-Feb,40.43197891,-79.93307803,2017,39,28
4785,F170035552,151,"Outside rubbish, trash or waste fire","100 BLOCK S 7TH ST, PITTSBURGH PA 15203",5/3/17 16:03,0,231EN24,1702,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44413678,-80.00099348,2017,80,25
4786,F170035633,131,Passenger vehicle fire,"E ST & MADISON AVE, PITTSBURGH PA 15212",5/3/17 23:07,0,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,24-Jan,40.45868323,-79.99834126,2017,108,14
4787,F170035775,113,"Cooking fire, confined to container","600 BLOCK N NEVILLE ST, PITTSBURGH PA 15216",5/4/17 11:56,1,231EN18,709,North Oakland,8,4,42003040400,3,4,4,9-Feb,40.44496207,-79.94661321,2017,213,11
4788,F160014945,111,Building fire,"4300 BLOCK BUTLER ST, PITTSBURGH PA 15201",2/25/16 17:04,1,231EN06,902,Central Lawrenceville,7,9,42003090200,2,9,2,3-Mar,40.47057751,-79.96004252,2016,213,9
4789,F160047838,130,"Mobile property (vehicle) fire, Other","NOLAN CT & MOHLER ST, PITTSBURGH PA 15208",6/22/16 9:56,0,231EN17,1301,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.45941134,-79.88696529,2016,29,27
4791,F160047951,118,"Trash or rubbish fire, contained","500 BLOCK FORBES AVE, PITTSBURGH PA 15219",6/22/16 16:26,1,231402,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43816944,-79.99606327,2016,52,42
4792,F170036072,113,"Cooking fire, confined to container","300 BLOCK N BRADDOCK AVE, PITTSBURGH PA 15221",5/5/17 14:56,1,231EN17,1405,Point Breeze North,9,14,42003140500,2,14,4,14-Mar,40.44964666,-79.89279811,2017,213,7
4793,F170036145,113,"Cooking fire, confined to container","7900 BLOCK BATAVIA ST, PITTSBURGH PA 15221",5/5/17 19:13,1,231EN17,1306,East Hills,9,13,42003130600,2,13,5,17-Mar,40.45340658,-79.88540472,2017,213,16
4794,F170036660,113,"Cooking fire, confined to container","4300 BLOCK MURRAY AVE, PITTSBURGH PA 15217",5/7/17 20:10,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42177066,-79.92905816,2017,213,13
4795,F140066974,130,"Mobile property (vehicle) fire, Other","E ST & HAZLETT ST, PITTSBURGH PA 15212",9/16/14 15:24,0,231EN38,2609,Northview Heights,6,26,42003260900,1,26,1,13-Jan,40.4746369,-80.00517196,2014,22,7
4796,F170035914,111,Building fire,"00 BLOCK ALMEDA ST, PITTSBURGH PA 15207",5/4/17 23:32,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.4029689,-79.94189674,2017,162,27
4797,F140067200,130,"Mobile property (vehicle) fire, Other","BEACON ST & MURRAY AVE, PITTSBURGH PA 15217",9/17/14 13:25,0,231EN18,1413,Squirrel Hill South,5,14,42003140800,3,14,4,21-Feb,40.43475379,-79.92283299,2014,22,33
4798,F140067254,111,Building fire,"700 BLOCK DELMONT AVE, PITTSBURGH PA 15210",9/17/14 16:54,1,231EN27,1809,Mt. Oliver,3,16,42003561700,4,16,3,8-Apr,40.40852934,-79.97780467,2014,188,2
4799,F170036716,111,Building fire,"1600 BLOCK LINCOLN AVE, PITTSBURGH PA 15206",5/8/17 3:52,1,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,18-Mar,40.47041005,-79.89260763,2017,162,26
4800,F170037087,113,"Cooking fire, confined to container","2100 BLOCK E CARSON ST, PITTSBURGH PA 15203",5/9/17 9:13,1,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42830665,-79.97606866,2017,213,34
4801,F170037157,113,"Cooking fire, confined to container","2400 BLOCK ALLEQUIPPA ST, PITTSBURGH PA 15213",5/9/17 12:17,1,231EN10,510,West Oakland,6,4,42003040200,3,4,4,10-Feb,40.44279175,-79.96568994,2017,213,5
4802,F170037181,111,Building fire,"1700 BLOCK LOCUST ST, PITTSBURGH PA 15219",5/9/17 13:34,1,231EN10,103,Bluff,6,1,42003010300,3,1,2,1-Feb,40.43660881,-79.98270135,2017,162,15
4803,F170037220,142,Brush or brush-and-grass mixture fire,"HOMER ST & SPRING GARDEN AV, PITTSBURGH PA 15212",5/9/17 16:27,0,231EN03,2412,Spring Garden,1,24,42003241200,1,24,1,24-Jan,40.46159184,-79.98751311,2017,39,2
4804,F170037221,113,"Cooking fire, confined to container","3100 BLOCK CORDELL PL, PITTSBURGH PA 15210",5/9/17 16:28,1,231EN22,1604,Arlington Heights,3,16,42003561600,4,16,3,8-Apr,40.41766931,-79.96341784,2017,213,2
4805,F170037229,113,"Cooking fire, confined to container","1600 BLOCK SUBURBAN AVE, PITTSBURGH PA 15216",5/9/17 16:42,1,231EN26,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.40960568,-80.01759818,2017,213,15
4806,F170037283,150,"Outside rubbish fire, Other","00 BLOCK BRIGGS ST, PITTSBURGH PA 15234",5/9/17 20:28,0,231EN26,3207,Overbrook,4,32,42003320700,4,32,3,25-Apr,40.38491543,-79.99667773,2017,41,6
4807,F170037373,151,"Outside rubbish, trash or waste fire","600 BLOCK WOOD ST, PITTSBURGH PA 15222",5/10/17 9:11,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44209205,-79.99942351,2017,80,25
4808,F170037686,160,"Special outside fire, Other","1000 BLOCK 5TH AVE, PITTSBURGH PA 15220",5/11/17 11:29,0,231EN04,201,Bluff,6,1,42003010300,3,1,2,4-Feb,40.43856481,-79.99083635,2017,26,15
4809,F170037837,118,"Trash or rubbish fire, contained","1300 BLOCK BENNINGTON AVE, PITTSBURGH PA 15217",5/11/17 22:58,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,8-Feb,40.44276275,-79.93316592,2017,32,10
4810,F170037881,130,"Mobile property (vehicle) fire, Other","1400 BLOCK N MURTLAND ST, PITTSBURGH PA 15206",5/12/17 6:00,0,231EN15,1207,Homewood North,9,13,42003130100,2,13,5,18-Mar,40.46256863,-79.89926291,2017,21,20
4811,F170037929,131,Passenger vehicle fire,"3000 BLOCK CHARTIERS AVE, PITTSBURGH PA 15204",5/12/17 9:26,0,231EN31,2022,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.4544535,-80.05856445,2017,108,19
4812,F170037942,151,"Outside rubbish, trash or waste fire","4200 BLOCK WINDSOR ST, PITTSBURGH PA 15217",5/12/17 10:11,0,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42343222,-79.92969083,2017,80,13
4814,F170038094,113,"Cooking fire, confined to container","2000 BLOCK SARAH ST, PITTSBURGH PA 15203",5/12/17 19:51,1,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42754186,-79.97759638,2017,213,34
4816,F170038234,111,Building fire,"3500 BLOCK DIPLOMA ST, PITTSBURGH PA 15212",5/13/17 11:40,1,231TK33,2708,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.47965081,-80.02993638,2017,162,19
4818,F170038294,113,"Cooking fire, confined to container","100 BLOCK KNOX AVE, PITTSBURGH PA 15210",5/13/17 16:43,1,231EN22,3001,Knoxville,3,30,42003300100,4,30,3,6-Apr,40.41555294,-79.99064494,2017,213,19
4819,F170038300,154,Dumpster or other outside trash receptacle fire,"1200 BLOCK BENTON AVE, PITTSBURGH PA 15212",5/13/17 17:10,0,231EN35,2708,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48611747,-80.03342486,2017,31,19
4820,F170038303,111,Building fire,"3300 BLOCK WEBSTER AVE, PITTSBURGH PA 15219",5/13/17 17:23,1,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,5-Feb,40.45283452,-79.96451209,2017,162,4
4821,F170038339,113,"Cooking fire, confined to container","1500 BLOCK HOWARD ST, PITTSBURGH PA 15212",5/13/17 20:03,1,231EN32,2304,East Allegheny,1,24,42003563200,1,24,1,6-Jan,40.45890714,-79.99997289,2017,213,14
4823,F140067278,142,Brush or brush-and-grass mixture fire,"OHIO RIVER BLVD & MILLERTON, PITTSBURGH PA 15212",9/17/14 18:26,0,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48151328,-80.04606956,2014,56,21
4824,F170038390,113,"Cooking fire, confined to container","1400 BLOCK LAGER ST, PITTSBURGH PA 15212",5/14/17 1:28,1,2314112,2406,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.46262811,-79.98343265,2017,213,11
4825,F170038480,111,Building fire,"200 BLOCK CARRINGTON ST, PITTSBURGH PA 15212",5/14/17 12:04,2,231EN37,2503,Central Northside,6,25,42003250300,1,25,1,21-Jan,40.45885435,-80.0098599,2017,162,13
4826,F170038492,143,Grass fire,"1800 BLOCK FORBES AVE, PITTSBURGH PA 15203",5/14/17 13:15,0,231EN12,103,Bluff,6,1,42003010300,3,1,2,1-Feb,40.43734495,-79.9813222,2017,8,15
4827,F170038532,113,"Cooking fire, confined to container","4300 BLOCK COLERIDGE ST, PITTSBURGH PA 15206",5/14/17 16:32,1,231EN07,1005,Stanton Heights,9,10,42003100500,2,10,5,7-Mar,40.47766558,-79.94186569,2017,213,3
4829,F170038602,113,"Cooking fire, confined to container","400 BLOCK MAPLEVIEW DR, PITTSBURGH PA 15216",5/14/17 20:38,1,231EN29,2023,Banksville,2,20,42003202300,5,20,6,9-Apr,40.41612726,-80.03703433,2017,213,11
4830,F170038648,111,Building fire,"600 BLOCK LIBERTY AVE, PITTSBURGH PA 15222",5/15/17 3:02,7,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44177298,-80.00162045,2017,162,25
4831,F170038828,140,"Natural vegetation fire, Other","SIDNEY ST & S 26TH ST, PITTSBURGH PA 15203",5/15/17 16:02,0,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42832482,-79.9679706,2017,16,34
4832,F170038885,131,Passenger vehicle fire,"800 BLOCK E SAW MILL RUN BLVD, PITTSBURGH PA 15216",5/15/17 18:26,0,231EN28,1806,Bon Air,3,18,42003562400,4,18,3,18-Apr,40.41239653,-80.00749633,2017,108,4
4833,F170038891,141,"Forest, woods or wildland fire","OLIVIA ST & PHILANDER ST, PITTSBURGH PA 15218",5/15/17 18:49,0,231EN19,1411,Swisshelm Park,5,14,42003141100,3,14,4,19-Feb,40.42161075,-79.90447562,2017,4,2
4834,F160048244,113,"Cooking fire, confined to container","100 BLOCK N HOMEWOOD AVE, PITTSBURGH PA 15208",6/23/16 15:33,1,231EN17,1405,Point Breeze,9,14,42003140600,3,14,4,14-Mar,40.44913449,-79.90166996,2016,197,12
4835,F170039811,111,Building fire,"400 BLOCK MARSHALL AVE, PITTSBURGH PA 15214",5/18/17 16:32,1,231EN38,2615,Perry South,6,26,42003261500,1,26,1,12-Jan,40.47228229,-80.01599314,2017,162,13
4836,F140067287,142,Brush or brush-and-grass mixture fire,"OHIO RIVER BLVD & MILLERTON, PITTSBURGH PA 15212",9/17/14 18:50,0,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48151328,-80.04606956,2014,56,21
4837,F170039218,113,"Cooking fire, confined to container","200 BLOCK E OHIO ST, PITTSBURGH PA 15212",5/16/17 21:18,1,231TK32,2204,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,40.45302239,-80.00366043,2017,213,9
4838,F170039276,113,"Cooking fire, confined to container","00 BLOCK NORTON ST, PITTSBURGH PA 15211",5/17/17 3:30,1,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42743753,-80.00949641,2017,213,28
4839,F170039492,142,Brush or brush-and-grass mixture fire,"00 BLOCK ALLEGHENY SQ E, PITTSBURGH PA 15212",5/17/17 16:13,0,231EN32,2204,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,40.45276463,-80.00777624,2017,39,9
4841,F170039554,142,Brush or brush-and-grass mixture fire,"4000 BLOCK WILKSBORO AVE, PITTSBURGH PA 15212",5/17/17 19:31,0,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48631023,-80.04477062,2017,39,19
4842,F170039556,111,Building fire,"7100 BLOCK IDLEWILD ST, PITTSBURGH PA 15208",5/17/17 19:51,1,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45861447,-79.8981779,2017,162,20
4843,F170039587,131,Passenger vehicle fire,"S MILLVALE AVE & CENTRE AVE, PITTSBURGH PA 15213",5/17/17 21:48,0,231EN06,804,Shadyside,8,7,42003070900,2,7,4,23-Feb,40.45329077,-79.94734685,2017,108,12
4844,F170039644,131,Passenger vehicle fire,"2600 BLOCK SHADELAND AVE, PITTSBURGH PA 15212",5/18/17 7:12,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.46845775,-80.02990806,2017,108,17
4845,F170089600,113,"Cooking fire, confined to container","5800 BLOCK PENN AVE, PITTSBURGH PA 15206",10/30/17 0:49,1,231EN08,1115,East Liberty,9,8,42003111500,2,8,5,8-Mar,40.46247073,-79.92788177,2017,213,16
4846,F140067552,154,Dumpster or other outside trash receptacle fire,"100 BLOCK 6TH ST, PITTSBURGH PA 15222",9/18/14 21:09,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44399023,-80.00263013,2014,57,32
4847,F140067600,111,Building fire,"3700 BLOCK ORPWOOD ST, PITTSBURGH PA 15213",9/19/14 2:15,3,231EN10,409,South Oakland,3,4,42003040900,3,4,4,11-Feb,40.42979123,-79.95316793,2014,188,13
4849,F140067829,111,Building fire,"800 BLOCK MELLON ST, PITTSBURGH PA 15206",9/19/14 20:43,1,231EN08,1102,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.4710498,-79.924879,2014,188,13
4850,F140068101,111,Building fire,"2300 BLOCK S 18TH ST, PITTSBURGH PA 15203",9/20/14 22:50,1,231EN24,1706,South Side Slopes,3,17,42003170600,4,17,3,3-Apr,40.42118728,-79.98160515,2014,188,14
4851,F140068130,118,"Trash or rubbish fire, contained","3300 BLOCK RIDGEWAY ST, PITTSBURGH PA 15219",9/21/14 2:08,1,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,24-Feb,40.45519168,-79.96591191,2014,42,7
4852,F140068140,151,"Outside rubbish, trash or waste fire","GALVESTON AVE & N LINCOLN A, PITTSBURGH PA 15212",9/21/14 3:46,0,231EN37,2201,Allegheny West,1,22,42003562700,1,22,1,7-Jan,40.45104513,-80.01621871,2014,63,4
4853,F140068275,154,Dumpster or other outside trash receptacle fire,"1600 BLOCK E CARSON ST, PITTSBURGH PA 15206",9/21/14 18:04,1,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42874675,-79.98264653,2014,57,23
4854,F140068281,113,"Cooking fire, confined to container","100 BLOCK BALVER CIR, PITTSBURGH PA 15205",9/21/14 18:41,1,231EN29,2812,Oakwood,2,28,42003562800,5,28,6,19-Jan,40.42838267,-80.06800542,2014,238,2
4855,F140068447,118,"Trash or rubbish fire, contained","2300 BLOCK REED ST, PITTSBURGH PA 15213",9/22/14 13:37,1,231EN10,501,Terrace Village,6,5,42003051000,3,5,2,5-Feb,40.44433479,-79.97331397,2014,42,12
4856,F140068602,151,"Outside rubbish, trash or waste fire","00 BLOCK MARKET SQ, PITTSBURGH PA 15222",9/23/14 5:06,0,231EN04,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.44058994,-80.00226561,2014,63,32
4857,F140068883,112,Fires in structure other than in a building,"1400 BLOCK CENTRE AVE, PITTSBURGH PA 15219",9/24/14 8:47,1,231EN04,201,Central Business District,6,3,42003020100,6,3,2,4-Feb,40.44040542,-79.98769558,2014,11,32
4858,F140068895,113,"Cooking fire, confined to container","5700 BLOCK BUNKERHILL ST, PITTSBURGH PA 15206",9/24/14 9:11,1,231EN08,1102,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47885334,-79.9196431,2014,238,13
4859,F140068944,113,"Cooking fire, confined to container","1000 BLOCK DORSET RD, PITTSBURGH PA 15217",9/24/14 12:12,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,26-Feb,40.44585257,-79.93785872,2014,238,20
4860,F140068982,142,Brush or brush-and-grass mixture fire,"7600 BLOCK PENN AVE, PITTSBURGH PA 15221",9/24/14 14:33,0,231EN17,1406,Point Breeze,9,14,42003140600,3,14,4,14-Mar,40.44707066,-79.89515195,2014,56,8
4861,F140069094,123,"Fire in portable building, fixed location","LIBERTY AVE & 31ST ST, PITTSBURGH PA 15222",9/25/14 0:08,0,231EN06,203,Polish Hill,7,6,42003060500,6,6,2,2-Mar,40.45922264,-79.9706862,2014,3,4
4862,F140069234,143,Grass fire,"2500 BLOCK PARK HILL DR, PITTSBURGH PA 15221",9/25/14 14:29,0,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45610602,-79.87322387,2014,17,16
4864,F140069272,140,"Natural vegetation fire, Other","800 BLOCK FREEPORT RD, PITTSBURGH PA 15206",9/25/14 16:55,0,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003980000,2,12,5,24-Mar,40.48782354,-79.89761421,2014,28,22
4865,F140069283,143,Grass fire,"WINSTON ST & 2ND AVE, PITTSBURGH PA 15207",9/25/14 17:29,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.4045763,-79.94255968,2014,17,36
4866,F140069304,140,"Natural vegetation fire, Other","900 BLOCK FREEPORT RD, PITTSBURGH PA 15295",9/25/14 18:27,0,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003980000,2,12,5,24-Mar,40.48808181,-79.89431722,2014,28,22
4867,F140069442,142,Brush or brush-and-grass mixture fire,"2800 BLOCK NEW BEAVER AVE, PITTSBURGH PA 15212",9/26/14 9:36,0,231EN37,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,14-Jan,40.46616933,-80.03635065,2014,56,13
4868,F140069526,113,"Cooking fire, confined to container","4600 BLOCK TORLEY ST, PITTSBURGH PA 15224",9/26/14 14:12,1,231EN06,903,Bloomfield,7,9,42003090300,2,9,5,6-Mar,40.46467602,-79.94983369,2014,238,23
4869,F140069575,113,"Cooking fire, confined to container","4000 BLOCK STILWELL ST, PITTSBURGH PA 15212",9/26/14 17:35,1,231EN34,2602,Perry North,1,26,42003260200,1,26,1,15-Jan,40.49083536,-80.0238774,2014,238,11
4870,F140069607,142,Brush or brush-and-grass mixture fire,"OBEY ST & STEUBEN ST, PITTSBURGH PA 15220",9/26/14 19:55,0,231EN30,2814,Crafton Heights,2,28,42003281500,5,28,6,17-Jan,40.44299534,-80.05265671,2014,56,15
4871,F140069640,142,Brush or brush-and-grass mixture fire,"200 BLOCK CLIMAX ST, PITTSBURGH PA 15211",9/26/14 23:34,0,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,16-Apr,40.41946955,-80.00431543,2014,56,19
4872,F140069675,154,Dumpster or other outside trash receptacle fire,"S 20TH ST & WHARTON ST, PITTSBURGH PA 15203",9/27/14 7:26,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.43038573,-79.97745545,2014,57,23
4873,F140069760,143,Grass fire,"900 BLOCK FREEPORT RD, PITTSBURGH PA 15238",9/27/14 15:15,0,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003980000,2,12,5,24-Mar,40.48808181,-79.89431722,2014,17,22
4874,F140069767,111,Building fire,"3900 BLOCK KLEBER ST, PITTSBURGH PA 15212",9/27/14 16:02,2,231EN35,2708,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48701624,-80.03744688,2014,188,21
4875,F140070168,113,"Cooking fire, confined to container","5100 BLOCK 5TH AVE, PITTSBURGH PA 15217",9/29/14 10:14,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,26-Feb,40.44740858,-79.93826831,2014,238,20
4876,F140070233,131,Passenger vehicle fire,"RENFREW ST & WINFIELD ST, PITTSBURGH PA 15208",9/29/14 14:00,0,231EN17,1204,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46478071,-79.90858078,2014,106,16
4877,F140070253,138,Off-road vehicle or heavy equipment fire,"2500 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",9/29/14 15:06,0,231EN23,2904,Carrick,4,29,42003290400,4,29,3,23-Apr,40.38668454,-79.98114783,2014,2,38
4878,F140070290,113,"Cooking fire, confined to container","300 BLOCK FERNHILL AVE, PITTSBURGH PA 15226",9/29/14 18:44,1,231EN26,1917,Brookline,4,19,42003191700,4,19,6,26-Apr,40.40089024,-80.01797842,2014,238,23
4879,F140070369,118,"Trash or rubbish fire, contained","4200 BLOCK 5TH AVE, PITTSBURGH PA 15213",9/30/14 2:08,1,231EN10,404,North Oakland,8,4,42003982200,3,4,4,7-Feb,40.44430229,-79.95319334,2014,42,17
4880,F140070518,113,"Cooking fire, confined to container","5800 BLOCK ALDERSON ST, PITTSBURGH PA 15217",9/30/14 14:53,1,231EN18,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.42893166,-79.92327843,2014,238,33
